vin,perc_days,avg_daily_max,avg_daily_mean,overall_max,overall_mean,mean_day_length_g,mean_day_length_r_g,mean_drive_length_r_g,mean_drive_length_g
ZHWEA6ZX1NLA18836,0.03571428571428571,154.40961174785102,47.47103510028653,167.372,47.471035100286535,3560,1006.25,365.90909090909093,3560
ZHWEA6ZX2MLA17323,0.2978723404255319,197.10622463101302,94.7741191585314,263,94.7741191585314,14328.333333333334,12069.492753623188,2056.283950617284,4776.111111111111
ZHWEA6ZX2MLA17645,0.2658959537572254,210.18168920507856,77.25259680051646,308.994,77.25259680051646,8255.142857142857,3369.4347826086955,1026.450331125828,3399.176470588235
ZHWEA6ZX2MLA17659,0.26424870466321243,228.74704199713952,64.34384345338708,306,64.34384345338708,4782.294117647059,2106.7450980392155,613.9657142857143,1729.7659574468084
ZHWEA6ZX2MLA17662,0.18518518518518517,154.41782729805013,64.73311281337047,182,64.73311281337047,5614.8,1250.4333333333334,493.5921052631579,2552.181818181818
ZHWEA6ZX2MLA17905,0.19858156028368795,60.38770055602359,22.86615847514743,138.404,22.86615847514743,1947.5,458.18518518518516,164.94666666666666,1947.5
ZHWEA6ZX2MLA17922,0.13071895424836602,119.07158469945355,37.93497267759563,165,37.93497267759563,1929.8,723.3,253.78947368421052,1072.111111111111
ZHWEA6ZX2MLA17936,0.2582781456953642,105.80168476907374,26.475123893850473,204.387,26.475123893850473,1994.6666666666667,936.6153846153846,304.4,1496
ZHWEA6ZX2MLA17967,0.1917808219178082,136.76602711173862,55.899433927659004,164.153,55.899433927659004,5493.625,1941.857142857143,715.421052631579,3380.6923076923076
ZHWEA6ZX2MLA18276,0.2702702702702703,137.42248062015503,53.25038759689922,204,53.25038759689922,1819,317.4,119.77358490566037,1819
ZHWEA6ZX2NLA18036,0.1791044776119403,135.33200908059024,54.050510783200906,195,54.050510783200906,2772.5,765.5833333333334,301.21311475409834,1848.3333333333333
ZHWEA6ZX2NLA18215,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZHWEA6ZX2NLA18229,0.20987654320987653,164.27969140497663,86.21482125393894,189,86.21482125393894,7535.142857142857,4027.8125,1130.6140350877192,4795.090909090909
ZHWEA6ZX2NLA18280,0.20270270270270271,90.34072900158479,29.96671949286846,168,29.966719492868464,1811.5,497.92857142857144,162.11627906976744,1811.5
ZHWEA6ZX2NLA18330,0.10294117647058823,145.01056941624364,46.842525,172.2,46.842525,1694,750.2857142857143,308.94117647058823,1694
ZHWEA6ZX2NLA18344,0.10526315789473684,32.10679611650485,11.21359223300971,53,11.21359223300971,104.33333333333333,141.6,59,78.25
ZHWEA6ZX2NLA18411,0.17543859649122806,76.26530612244898,36.25364431486881,121,36.25364431486881,1355,324.77777777777777,116.92,1355
ZHWEA6ZX2NLA18439,0.18518518518518517,127.39431279620852,51.637914691943124,161,51.63791469194313,3128.6666666666665,1203.111111111111,338.375,1877.2
ZHWEA6ZX2NLA18456,0.2653061224489796,94.40322580645162,35.089442815249264,134,35.089442815249264,NA,204,88.4,NA
ZHWEA6ZX2NLA18487,0.22916666666666666,122.47959969207082,52.434949961508856,153,52.434949961508856,2253,839.8181818181819,355.3076923076923,1689.75
ZHWEA6ZX2NLA18604,0.18181818181818182,150.41007626774848,50.29117931034483,186.684,50.29117931034483,1972,456.8333333333333,130.52380952380952,1972
ZHWEA6ZX2NLA18618,0.34375,142.88667496886674,53.605230386052305,190,53.605230386052305,3028,726.6363636363636,285.4642857142857,2018.6666666666667
ZHWEA6ZX2NLA18635,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZHWEA6ZX2NLA18649,0.4666666666666667,108.00584795321637,42.851851851851855,133,42.851851851851855,1701,595.4,135.3181818181818,1701
ZHWEA6ZX2NLA18764,0.3888888888888889,110.07788674418606,38.069089341085274,154.497,38.069089341085274,1237.5,925.1428571428571,259.04,1237.5
ZHWEA6ZX2NLA18781,0.46153846153846156,95.34098360655737,38.96393442622951,122,38.96393442622951,2454,641.6,152.76190476190476,1227
ZHWEA6ZX2NLA18845,0.6666666666666666,170.03428571428572,67.46571428571428,171,67.46571428571428,1822,1942,647.3333333333334,1822
ZHWEA6ZX2NLA18926,1,175,63.45945945945946,175,63.45945945945946,NA,NA,NA,NA
ZHWEA6ZX3MLA17511,0.3744075829383886,241.87825513161926,90.58916409398346,316,90.58916409398346,8851.25,3426.721518987342,1033.2480916030534,3034.714285714286
ZHWEA6ZX3MLA17539,0.3961352657004831,206.84729563072585,81.20207892882311,268,81.20207892882311,7460,2095.8024691358023,554.7712418300654,1894.6031746031747
ZHWEA6ZX3MLA17623,0.010256410256410256,174.0421686746988,91.86897590361446,185,91.86897590361446,822.5,832.5,555,822.5
ZHWEA6ZX3MLA17671,0.12105263157894737,145.56172868055555,50.96870126388889,191.512,50.96870126388889,4429.25,1054.1304347826087,410.93220338983053,2952.8333333333335
ZHWEA6ZX3MLA17766,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZHWEA6ZX3MLA17783,0.14534883720930233,99.05578417924097,41.58207590306356,144,41.582075903063554,1939.6666666666667,520.2,213.19672131147541,1163.8
ZHWEA6ZX3MLA17864,0.36875,171.80680797907638,58.29097864699223,274,58.29097864699223,3115.170731707317,2762.576271186441,758.1023255813953,1373.3548387096773
ZHWEA6ZX3MLA17900,0.2653061224489796,183.83857123993133,67.4162155024429,235,67.4162155024429,5474.933333333333,4042.75,1115.2413793103449,2219.5675675675675
ZHWEA6ZX3MLA17928,0.4407894736842105,160.0956921134548,72.11043993121312,271,72.11043993121314,10785.760869565218,9244.805970149253,1687.7438692098092,3120.4088050314467
ZHWEA6ZX3MLA17931,0.40789473684210525,149.37866550056592,60.157063483897524,245,60.157063483897524,4984.571428571428,4003.1774193548385,1098.216814159292,2227.148936170213
ZHWEA6ZX3MLA17993,0.18705035971223022,204.22392254840724,79.17848219862586,251,79.17848219862586,4208,1681,642.7352941176471,2244.266666666667
